code,title,Level
335311,"Power, Distribution, and Specialty Transformer Manufacturing",6
335312,Motor and Generator Manufacturing,6
335313,Switchgear and Switchboard Apparatus Manufacturing,6
335314,Relay and Industrial Control Manufacturing,6
335910,Battery Manufacturing,6
335921,Fiber Optic Cable Manufacturing,6
335929,Other Communication and Energy Wire Manufacturing,6
335931,Current-Carrying Wiring Device Manufacturing,6
335932,Noncurrent-Carrying Wiring Device Manufacturing,6
335991,Carbon and Graphite Product Manufacturing,6
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,6
336110,Automobile and Light Duty Motor Vehicle Manufacturing,6
336120,Heavy Duty Truck Manufacturing,6
336211,Motor Vehicle Body Manufacturing,6
336212,Truck Trailer Manufacturing,6
336213,Motor Home Manufacturing,6
336214,Travel Trailer and Camper Manufacturing,6
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,6
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,6
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,6
336340,Motor Vehicle Brake System Manufacturing,6
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,6
336360,Motor Vehicle Seating and Interior Trim Manufacturing,6
336370,Motor Vehicle Metal Stamping,6
336390,Other Motor Vehicle Parts Manufacturing,6
336411,Aircraft Manufacturing,6
336412,Aircraft Engine and Engine Parts Manufacturing,6
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,6
336414,Guided Missile and Space Vehicle Manufacturing,6
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,6
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,6
336510,Railroad Rolling Stock Manufacturing,6
336611,Ship Building and Repairing,6
336612,Boat Building,6
336991,"Motorcycle, Bicycle, and Parts Manufacturing",6
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",6
336999,All Other Transportation Equipment Manufacturing,6
337110,Wood Kitchen Cabinet and Countertop Manufacturing,6
337121,Upholstered Household Furniture Manufacturing,6
337122,Nonupholstered Wood Household Furniture Manufacturing,6
337126,Household Furniture (except Wood and Upholstered) Manufacturing,6
337127,Institutional Furniture Manufacturing,6
337211,Wood Office Furniture Manufacturing,6
337212,Custom Architectural Woodwork and Millwork Manufacturing,6
337214,Office Furniture (except Wood) Manufacturing,6
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",6
337910,Mattress Manufacturing,6
337920,Blind and Shade Manufacturing,6
339112,Surgical and Medical Instrument Manufacturing,6
339113,Surgical Appliance and Supplies Manufacturing,6
339114,Dental Equipment and Supplies Manufacturing,6
339115,Ophthalmic Goods Manufacturing,6
339116,Dental Laboratories,6
339910,Jewelry and Silverware Manufacturing,6
339920,Sporting and Athletic Goods Manufacturing,6
339930,"Doll, Toy, and Game Manufacturing",6
339940,Office Supplies (except Paper) Manufacturing,6
339950,Sign Manufacturing,6
339991,"Gasket, Packing, and Sealing Device Manufacturing",6
339992,Musical Instrument Manufacturing,6
339993,"Fastener, Button, Needle, and Pin Manufacturing",6
339994,"Broom, Brush, and Mop Manufacturing",6
339995,Burial Casket Manufacturing,6
339999,All Other Miscellaneous Manufacturing,6
